mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin
18.0,8,307.0,15,3504,12.0,70,1
15.0,8,350.0,33,3693,11.5,70,1
18.0,8,318.0,27,3436,11.0,70,1
16.0,8,304.0,27,3433,12.0,70,1
17.0,8,302.0,22,3449,10.5,70,1
15.0,8,429.0,40,4341,10.0,70,1
14.0,8,454.0,45,4354,9.0,70,1
14.0,8,440.0,44,4312,8.5,70,1
14.0,8,455.0,46,4425,10.0,70,1
15.0,8,390.0,38,3850,8.5,70,1
15.0,8,383.0,35,3563,10.0,70,1
14.0,8,340.0,32,3609,8.0,70,1
15.0,8,400.0,27,3761,9.5,70,1
14.0,8,455.0,46,3086,10.0,70,1
24.0,4,113.0,89,2372,15.0,70,3
22.0,6,198.0,89,2833,15.5,70,1
18.0,6,199.0,91,2774,15.5,70,1
21.0,6,200.0,79,2587,16.0,70,1
27.0,4,97.0,82,2130,14.5,70,3
26.0,4,97.0,48,1835,20.5,70,2
25.0,4,110.0,81,2672,17.5,70,2
24.0,4,107.0,84,2430,14.5,70,2
25.0,4,104.0,89,2375,17.5,70,2
26.0,4,121.0,8,2234,12.5,70,2
21.0,6,199.0,84,2648,15.0,70,1
10.0,8,360.0,44,4615,14.0,70,1
10.0,8,307.0,41,4376,15.0,70,1
11.0,8,318.0,43,4382,13.5,70,1
9.0,8,304.0,39,4732,18.5,70,1
27.0,4,97.0,82,2130,14.5,71,3
28.0,4,140.0,84,2264,15.5,71,1
25.0,4,113.0,89,2228,14.0,71,3
25.0,4,98.0,93,2046,19.0,71,1
19.0,6,232.0,0,2634,13.0,71,1
16.0,6,225.0,3,3439,15.5,71,1
17.0,6,250.0,0,3329,15.5,71,1
19.0,6,250.0,82,3302,15.5,71,1
18.0,6,232.0,0,3288,15.5,71,1
14.0,8,350.0,33,4209,12.0,71,1
14.0,8,400.0,36,4464,11.5,71,1
14.0,8,351.0,29,4154,13.5,71,1
14.0,8,318.0,27,4096,13.0,71,1
12.0,8,383.0,37,4955,11.5,71,1
13.0,8,400.0,35,4746,12.0,71,1
13.0,8,400.0,36,5140,12.0,71,1
18.0,6,258.0,6,2962,13.5,71,1
22.0,4,140.0,67,2408,19.0,71,1
19.0,6,250.0,0,3282,15.0,71,1
18.0,6,250.0,82,3139,14.5,71,1
23.0,4,122.0,80,2220,14.0,71,1
28.0,4,116.0,84,2123,14.0,71,2
30.0,4,79.0,65,2074,19.5,71,2
30.0,4,88.0,70,2065,14.5,71,2
31.0,4,71.0,60,1773,19.0,71,3
35.0,4,72.0,64,1613,18.0,71,3
27.0,4,97.0,55,1834,19.0,71,2
26.0,4,91.0,65,1955,20.5,71,1
24.0,4,113.0,89,2278,15.5,72,3
25.0,4,97.5,74,2126,17.0,72,1
23.0,4,97.0,53,2254,23.5,72,2
20.0,4,140.0,84,2408,19.5,72,1
21.0,4,122.0,80,2226,16.5,72,1
13.0,8,350.0,33,4274,12.0,72,1
14.0,8,400.0,36,4385,12.0,72,1
15.0,8,318.0,27,4135,13.5,72,1
14.0,8,351.0,29,4129,13.0,72,1
17.0,8,304.0,27,3672,11.5,72,1
11.0,8,429.0,42,4633,11.0,72,1
13.0,8,350.0,30,4502,13.5,72,1
12.0,8,350.0,32,4456,13.5,72,1
13.0,8,400.0,38,4422,12.5,72,1
19.0,3,70.0,91,2330,13.5,72,3
15.0,8,304.0,27,3892,12.5,72,1
13.0,8,307.0,15,4098,14.0,72,1
13.0,8,302.0,22,4294,16.0,72,1
14.0,8,318.0,27,4077,14.0,72,1
18.0,4,121.0,7,2933,14.5,72,2
22.0,4,121.0,70,2511,18.0,72,2
21.0,4,120.0,81,2979,19.5,72,2
26.0,4,96.0,64,2189,18.0,72,2
22.0,4,122.0,80,2395,16.0,72,1
28.0,4,97.0,86,2288,17.0,72,3
23.0,4,120.0,91,2506,14.5,72,3
28.0,4,98.0,74,2164,15.0,72,1
27.0,4,97.0,82,2100,16.5,72,3
13.0,8,350.0,36,4100,13.0,73,1
14.0,8,304.0,27,3672,11.5,73,1
13.0,8,350.0,24,3988,13.0,73,1
14.0,8,302.0,19,4042,14.5,73,1
15.0,8,318.0,27,3777,12.5,73,1
12.0,8,429.0,40,4952,11.5,73,1
13.0,8,400.0,27,4464,12.0,73,1
13.0,8,351.0,31,4363,13.0,73,1
14.0,8,318.0,27,4237,14.5,73,1
13.0,8,440.0,44,4735,11.0,73,1
12.0,8,455.0,46,4951,11.0,73,1
13.0,8,360.0,36,3821,11.0,73,1
18.0,6,225.0,3,3121,16.5,73,1
16.0,6,250.0,0,3278,18.0,73,1
18.0,6,232.0,0,2945,16.0,73,1
18.0,6,250.0,82,3021,16.5,73,1
23.0,6,198.0,89,2904,16.0,73,1
26.0,4,97.0,48,1950,21.0,73,2
11.0,8,400.0,27,4997,14.0,73,1
12.0,8,400.0,34,4906,12.5,73,1
13.0,8,360.0,35,4654,13.0,73,1
12.0,8,350.0,37,4499,12.5,73,1
18.0,6,232.0,0,2789,15.0,73,1
20.0,4,97.0,82,2279,19.0,73,3
21.0,4,140.0,67,2401,19.5,73,1
22.0,4,108.0,88,2379,16.5,73,3
18.0,3,70.0,84,2124,13.5,73,3
19.0,4,122.0,79,2310,18.5,73,1
21.0,6,155.0,4,2472,14.0,73,1
26.0,4,98.0,84,2265,15.5,73,2
15.0,8,350.0,24,4082,13.0,73,1
16.0,8,400.0,47,4278,9.5,73,1
29.0,4,68.0,50,1867,19.5,73,2
24.0,4,116.0,69,2158,15.5,73,2
20.0,4,114.0,85,2582,14.0,73,2
19.0,4,121.0,7,2868,15.5,73,2
15.0,8,318.0,27,3399,11.0,73,1
24.0,4,121.0,6,2660,14.0,73,2
20.0,6,156.0,12,2807,13.5,73,3
11.0,8,350.0,37,3664,11.0,73,1
20.0,6,198.0,89,3102,16.5,74,1
21.0,6,200.0,93,2875,17.0,74,1
19.0,6,232.0,0,2901,16.0,74,1
15.0,6,250.0,0,3336,17.0,74,1
31.0,4,79.0,62,1950,19.0,74,3
26.0,4,122.0,74,2451,16.5,74,1
32.0,4,71.0,60,1836,21.0,74,3
25.0,4,140.0,69,2542,17.0,74,1
16.0,6,250.0,0,3781,17.0,74,1
16.0,6,258.0,6,3632,18.0,74,1
18.0,6,225.0,3,3613,16.5,74,1
16.0,8,302.0,22,4141,14.0,74,1
13.0,8,350.0,27,4699,14.5,74,1
14.0,8,318.0,27,4457,13.5,74,1
14.0,8,302.0,22,4638,16.0,74,1
14.0,8,304.0,27,4257,15.5,74,1
29.0,4,98.0,77,2219,16.5,74,2
26.0,4,79.0,62,1963,15.5,74,2
26.0,4,97.0,72,2300,14.5,74,2
31.0,4,76.0,51,1649,16.5,74,3
32.0,4,83.0,56,2003,19.0,74,3
28.0,4,90.0,69,2125,14.5,74,1
24.0,4,90.0,69,2108,15.5,74,2
26.0,4,116.0,69,2246,14.0,74,2
24.0,4,120.0,91,2489,15.0,74,3
26.0,4,108.0,87,2391,15.5,74,3
31.0,4,79.0,62,2000,16.0,74,2
19.0,6,225.0,89,3264,16.0,75,1
18.0,6,250.0,3,3459,16.0,75,1
15.0,6,250.0,67,3432,21.0,75,1
15.0,6,250.0,67,3158,19.5,75,1
16.0,8,400.0,35,4668,11.5,75,1
15.0,8,350.0,24,4440,14.0,75,1
16.0,8,318.0,27,4498,14.5,75,1
14.0,8,351.0,25,4657,13.5,75,1
17.0,6,231.0,6,3907,21.0,75,1
16.0,6,250.0,3,3897,18.5,75,1
15.0,6,258.0,6,3730,19.0,75,1
18.0,6,225.0,89,3785,19.0,75,1
21.0,6,231.0,6,3039,15.0,75,1
20.0,8,262.0,6,3221,13.5,75,1
13.0,8,302.0,14,3169,12.0,75,1
29.0,4,97.0,69,2171,16.0,75,3
23.0,4,140.0,77,2639,17.0,75,1
20.0,6,232.0,0,2914,16.0,75,1
23.0,4,140.0,72,2592,18.5,75,1
24.0,4,134.0,90,2702,13.5,75,3
25.0,4,90.0,66,2223,16.5,75,2
24.0,4,119.0,91,2545,17.0,75,3
18.0,6,171.0,91,2984,14.5,75,1
29.0,4,90.0,65,1937,14.0,75,2
19.0,6,232.0,84,3211,17.0,75,1
23.0,4,115.0,89,2694,15.0,75,2
23.0,4,120.0,82,2957,17.0,75,2
22.0,4,121.0,92,2945,14.5,75,2
25.0,4,121.0,9,2671,13.5,75,2
33.0,4,91.0,52,1795,17.5,75,3
28.0,4,107.0,80,2464,15.5,76,2
25.0,4,116.0,75,2220,16.9,76,2
25.0,4,140.0,86,2572,14.9,76,1
26.0,4,98.0,73,2255,17.7,76,1
27.0,4,101.0,77,2202,15.3,76,2
17.5,8,305.0,22,4215,13.0,76,1
16.0,8,318.0,27,4190,13.0,76,1
15.5,8,304.0,11,3962,13.9,76,1
14.5,8,351.0,28,4215,12.8,76,1
22.0,6,225.0,0,3233,15.4,76,1
22.0,6,250.0,3,3353,14.5,76,1
24.0,6,200.0,75,3012,17.6,76,1
22.5,6,232.0,84,3085,17.6,76,1
29.0,4,85.0,51,2035,22.2,76,1
24.5,4,98.0,55,2164,22.1,76,1
29.0,4,90.0,65,1937,14.2,76,2
33.0,4,91.0,52,1795,17.4,76,3
20.0,6,225.0,0,3651,17.7,76,1
18.0,6,250.0,72,3574,21.0,76,1
18.5,6,250.0,6,3645,16.2,76,1
17.5,6,258.0,89,3193,17.8,76,1
29.5,4,97.0,66,1825,12.2,76,2
32.0,4,85.0,65,1990,17.0,76,3
28.0,4,97.0,69,2155,16.4,76,3
26.5,4,140.0,67,2565,13.6,76,1
20.0,4,130.0,1,3150,15.7,76,2
13.0,8,318.0,27,3940,13.2,76,1
19.0,4,120.0,82,3270,21.9,76,2
19.0,6,156.0,5,2930,15.5,76,3
16.5,6,168.0,11,3820,16.7,76,2
16.5,8,350.0,37,4380,12.1,76,1
13.0,8,350.0,24,4055,12.0,76,1
13.0,8,302.0,15,3870,15.0,76,1
13.0,8,318.0,27,3755,14.0,76,1
31.5,4,98.0,63,2045,18.5,77,3
30.0,4,111.0,74,2155,14.8,77,1
36.0,4,79.0,54,1825,18.6,77,2
25.5,4,122.0,90,2300,15.5,77,1
33.5,4,85.0,65,1945,16.8,77,3
17.5,8,305.0,24,3880,12.5,77,1
17.0,8,260.0,6,4060,19.0,77,1
15.5,8,318.0,24,4140,13.7,77,1
15.0,8,302.0,15,4295,14.9,77,1
17.5,6,250.0,6,3520,16.4,77,1
20.5,6,231.0,3,3425,16.9,77,1
19.0,6,225.0,0,3630,17.7,77,1
18.5,6,250.0,92,3525,19.0,77,1
16.0,8,400.0,37,4220,11.1,77,1
15.5,8,350.0,35,4165,11.4,77,1
15.5,8,400.0,38,4325,12.2,77,1
16.0,8,351.0,26,4335,14.5,77,1
29.0,4,97.0,72,1940,14.5,77,2
24.5,4,151.0,82,2740,16.0,77,1
26.0,4,97.0,69,2265,18.2,77,3
25.5,4,140.0,83,2755,15.8,77,1
30.5,4,98.0,58,2051,17.0,77,1
33.5,4,98.0,77,2075,15.9,77,1
30.0,4,97.0,62,1985,16.4,77,3
30.5,4,97.0,72,2190,14.1,77,2
22.0,6,146.0,91,2815,14.5,77,3
21.5,4,121.0,6,2600,12.8,77,2
21.5,3,80.0,6,2720,13.5,77,3
43.1,4,90.0,49,1985,21.5,78,2
36.1,4,98.0,61,1800,14.4,78,1
32.8,4,78.0,51,1985,19.4,78,3
39.4,4,85.0,65,2070,18.6,78,3
36.1,4,91.0,55,1800,16.4,78,3
19.9,8,260.0,6,3365,15.5,78,1
19.4,8,318.0,22,3735,13.2,78,1
20.2,8,302.0,21,3570,12.8,78,1
19.2,6,231.0,3,3535,19.2,78,1
20.5,6,200.0,89,3155,18.2,78,1
20.2,6,200.0,79,2965,15.8,78,1
25.1,4,140.0,82,2720,15.4,78,1
20.5,6,225.0,0,3430,17.2,78,1
19.4,6,232.0,84,3210,17.2,78,1
20.6,6,231.0,3,3380,15.8,78,1
20.8,6,200.0,79,3070,16.7,78,1
18.6,6,225.0,6,3620,18.7,78,1
18.1,6,258.0,11,3410,15.1,78,1
19.2,8,305.0,24,3425,13.2,78,1
17.7,6,231.0,33,3445,13.4,78,1
18.1,8,302.0,21,3205,11.2,78,1
17.5,8,318.0,22,4080,13.7,78,1
30.0,4,98.0,63,2155,16.5,78,1
27.5,4,134.0,89,2560,14.2,78,3
27.2,4,119.0,91,2300,14.7,78,3
30.9,4,105.0,69,2230,14.5,78,1
21.1,4,134.0,89,2515,14.8,78,3
23.2,4,156.0,3,2745,16.7,78,1
23.8,4,151.0,79,2855,17.6,78,1
23.9,4,119.0,91,2405,14.9,78,3
20.3,5,131.0,2,2830,15.9,78,2
17.0,6,163.0,13,3140,13.6,78,2
21.6,4,121.0,9,2795,15.7,78,2
16.2,6,163.0,17,3410,15.8,78,2
31.5,4,89.0,66,1990,14.9,78,2
29.5,4,98.0,63,2135,16.6,78,3
21.5,6,231.0,9,3245,15.4,79,1
19.8,6,200.0,79,2990,18.2,79,1
22.3,4,140.0,82,2890,17.3,79,1
20.2,6,232.0,84,3265,18.2,79,1
20.6,6,225.0,6,3360,16.6,79,1
17.0,8,305.0,15,3840,15.4,79,1
17.6,8,302.0,14,3725,13.4,79,1
16.5,8,351.0,20,3955,13.2,79,1
18.2,8,318.0,18,3830,15.2,79,1
16.9,8,350.0,30,4360,14.9,79,1
15.5,8,351.0,23,4054,14.3,79,1
19.2,8,267.0,13,3605,15.0,79,1
18.5,8,360.0,27,3940,13.0,79,1
31.9,4,89.0,66,1925,14.0,79,2
34.1,4,86.0,60,1975,15.2,79,3
35.7,4,98.0,74,1915,14.4,79,1
27.4,4,121.0,74,2670,15.0,79,1
25.4,5,183.0,71,3530,20.1,79,2
23.0,8,350.0,13,3900,17.4,79,1
27.2,4,141.0,66,3190,24.8,79,2
23.9,8,260.0,84,3420,22.2,79,1
34.2,4,105.0,65,2200,13.2,79,1
34.5,4,105.0,65,2150,14.9,79,1
31.8,4,85.0,60,2020,19.2,79,3
37.3,4,91.0,64,2130,14.7,79,2
28.4,4,151.0,84,2670,16.0,79,1
28.8,6,173.0,9,2595,11.3,79,1
26.8,6,173.0,9,2700,12.9,79,1
33.5,4,151.0,84,2556,13.2,79,1
41.5,4,98.0,70,2144,14.7,80,2
38.1,4,89.0,55,1968,18.8,80,3
32.1,4,98.0,65,2120,15.5,80,1
37.2,4,86.0,60,2019,16.4,80,3
28.0,4,151.0,84,2678,16.5,80,1
26.4,4,140.0,82,2870,18.1,80,1
24.3,4,151.0,84,3003,20.1,80,1
19.1,6,225.0,84,3381,18.7,80,1
34.3,4,97.0,72,2188,15.8,80,2
29.8,4,134.0,84,2711,15.5,80,3
31.3,4,120.0,69,2542,17.5,80,3
37.0,4,119.0,86,2434,15.0,80,3
32.2,4,108.0,69,2265,15.2,80,3
46.6,4,86.0,60,2110,17.9,80,3
27.9,4,156.0,3,2800,14.4,80,1
40.8,4,85.0,60,2110,19.2,80,3
44.3,4,90.0,49,2085,21.7,80,2
43.4,4,90.0,49,2335,23.7,80,2
36.4,5,121.0,62,2950,19.9,80,2
30.0,4,146.0,62,3250,21.8,80,2
44.6,4,91.0,62,1850,13.8,80,3
40.9,4,85.0,93,1835,17.3,80,2
33.8,4,97.0,62,2145,18.0,80,3
29.8,4,89.0,57,1845,15.3,80,2
32.7,6,168.0,16,2910,11.4,80,3
23.7,3,70.0,0,2420,12.5,80,3
35.0,4,122.0,82,2500,15.1,80,2
23.6,4,140.0,93,2905,14.3,80,1
32.4,4,107.0,67,2290,17.0,80,3
27.2,4,135.0,78,2490,15.7,81,1
26.6,4,151.0,78,2635,16.4,81,1
25.8,4,156.0,86,2620,14.4,81,1
23.5,6,173.0,6,2725,12.6,81,1
30.0,4,135.0,78,2385,12.9,81,1
39.1,4,79.0,54,1755,16.9,81,3
39.0,4,86.0,59,1875,16.4,81,1
35.1,4,81.0,55,1760,16.1,81,3
32.3,4,97.0,62,2065,17.8,81,3
37.0,4,85.0,60,1975,19.4,81,3
37.7,4,89.0,57,2050,17.3,81,3
34.1,4,91.0,63,1985,16.0,81,3
34.7,4,105.0,58,2215,14.9,81,1
34.4,4,98.0,60,2045,16.2,81,1
29.9,4,98.0,60,2380,20.7,81,1
33.0,4,105.0,68,2190,14.2,81,2
34.5,4,100.0,93,2320,15.8,81,2
33.7,4,107.0,69,2210,14.4,81,3
32.4,4,108.0,69,2350,16.8,81,3
32.9,4,119.0,0,2615,14.8,81,3
31.6,4,120.0,68,2635,18.3,81,3
28.1,4,141.0,74,3230,20.4,81,2
30.7,6,145.0,70,3160,19.6,81,2
25.4,6,168.0,10,2900,12.6,81,3
24.2,6,146.0,11,2930,13.8,81,3
22.4,6,231.0,6,3415,15.8,81,1
26.6,8,350.0,3,3725,19.0,81,1
20.2,6,200.0,82,3060,17.1,81,1
17.6,6,225.0,79,3465,16.6,81,1
28.0,4,112.0,82,2605,19.6,82,1
27.0,4,112.0,82,2640,18.6,82,1
34.0,4,112.0,82,2395,18.0,82,1
31.0,4,112.0,79,2575,16.2,82,1
29.0,4,135.0,78,2525,16.0,82,1
27.0,4,151.0,84,2735,18.0,82,1
24.0,4,140.0,86,2865,16.4,82,1
23.0,4,151.0,93,3035,20.5,82,1
36.0,4,105.0,68,1980,15.3,82,2
37.0,4,91.0,63,2025,18.2,82,3
31.0,4,91.0,63,1970,17.6,82,3
38.0,4,105.0,58,2125,14.7,82,1
36.0,4,98.0,65,2125,17.3,82,1
36.0,4,120.0,82,2160,14.5,82,3
36.0,4,107.0,69,2205,14.5,82,3
34.0,4,108.0,65,2245,16.9,82,3
38.0,4,91.0,62,1965,15.0,82,3
32.0,4,91.0,62,1965,15.7,82,3
38.0,4,91.0,62,1995,16.2,82,3
25.0,6,181.0,6,2945,16.4,82,1
38.0,6,262.0,79,3015,17.0,82,1
26.0,4,156.0,86,2585,14.5,82,1
22.0,6,232.0,7,2835,14.7,82,1
32.0,4,144.0,90,2665,13.9,82,3
36.0,4,135.0,78,2370,13.0,82,1
27.0,4,151.0,84,2950,17.3,82,1
27.0,4,140.0,80,2790,15.6,82,1
44.0,4,97.0,51,2130,24.6,82,2
32.0,4,135.0,78,2295,11.6,82,1
28.0,4,120.0,73,2625,18.6,82,1
31.0,4,119.0,76,2720,19.4,82,1
